[2023-10-10 19:37:41.145] Opened database successfully
[2023-10-10 19:37:41.227] Table ANALOGS created successfully
[2023-10-10 19:37:41.253] Table BINARIES created successfully
[2023-10-10 19:38:13.002] Signal 4: 0
[2023-10-10 19:38:13.002] Signal 5: 1080
[2023-10-10 19:38:13.003] Signal 6: 0
[2023-10-10 19:38:13.003] Signal 7: 60673
[2023-10-10 19:38:13.004] Signal 8: 16383
[2023-10-10 19:38:13.004] Signal 9: 50
[2023-10-10 19:38:14.000] Signal 0: 26
[2023-10-10 19:38:14.000] Signal 1: 0
[2023-10-10 19:38:14.001] Signal 2: 0
[2023-10-10 19:38:14.001] Signal 3: 2
[2023-10-10 19:38:14.002] Signal 4: 0
[2023-10-10 19:38:14.002] Signal 5: 1080
[2023-10-10 19:38:14.003] Signal 6: 0
[2023-10-10 19:38:14.003] Signal 7: 60673
[2023-10-10 19:38:14.004] Signal 8: 16383
[2023-10-10 19:38:14.004] Signal 9: 50
[2023-10-10 19:38:15.000] Signal 0: 26
[2023-10-10 19:38:15.000] Signal 1: 0
[2023-10-10 19:38:15.001] Signal 2: 0
[2023-10-10 19:38:15.001] Signal 3: 2
[2023-10-10 19:38:15.002] Signal 4: 0
[2023-10-10 19:38:15.003] Signal 5: 1080
[2023-10-10 19:38:15.003] Signal 6: 0
[2023-10-10 19:38:15.004] Signal 7: 60673
[2023-10-10 19:38:15.004] Signal 8: 16383
[2023-10-10 19:38:15.005] Signal 9: 50
[2023-10-10 19:38:16.000] Signal 0: 26
[2023-10-10 19:38:16.000] Signal 1: 0
[2023-10-10 19:38:16.001] Signal 2: 0
[2023-10-10 19:38:16.001] Signal 3: 2
[2023-10-10 19:38:16.002] Signal 4: 0
[2023-10-10 19:38:16.003] Signal 5: 1080
[2023-10-10 19:38:16.003] Signal 6: 0
[2023-10-10 19:38:16.004] Signal 7: 60673
[2023-10-10 19:38:16.004] Signal 8: 16383
[2023-10-10 19:38:16.004] Signal 9: 50
[2023-10-10 19:38:17.000] Signal 0: 26
[2023-10-10 19:38:17.000] Signal 1: 0
[2023-10-10 19:38:17.001] Signal 2: 0
[2023-10-10 19:38:17.002] Signal 3: 2
[2023-10-10 19:38:17.002] Signal 4: 0
[2023-10-10 19:38:17.003] Signal 5: 1080
